State,year,forecast_accidents,lower_estimate,upper_estimate,risk_category,risk_score
Andaman & Nicobar Islands,2024,143,0,2198,Low,13.01
Andaman & Nicobar Islands,2025,142,0,2417,Low,13.01
Andaman & Nicobar Islands,2026,142,0,2637,Low,13.01
Andaman & Nicobar Islands,2027,142,0,2858,Low,13.01
Andaman & Nicobar Islands,2028,142,0,3078,Low,13.01
Andhra Pradesh,2024,20290,18235,22345,Low,33.23
Andhra Pradesh,2025,21437,19162,23712,Low,33.23
Andhra Pradesh,2026,21834,19339,24329,Low,33.23
Andhra Pradesh,2027,21626,18910,24342,Low,33.23
Andhra Pradesh,2028,21124,18188,24060,Low,33.23
Arunachal Pradesh,2024,271,0,2326,Low,19.43
Arunachal Pradesh,2025,244,0,2519,Low,19.43
Arunachal Pradesh,2026,243,0,2738,Low,19.43
Arunachal Pradesh,2027,249,0,2965,Low,19.43
Arunachal Pradesh,2028,251,0,3187,Low,19.43
Assam,2024,7286,5231,9341,Low,22.19
Assam,2025,7204,4929,9479,Low,22.19
Assam,2026,7243,4748,9738,Low,22.19
Assam,2027,7255,4539,9971,Low,22.19
Assam,2028,7243,4307,10179,Low,22.19
Bihar,2024,11082,9027,13137,Low,25.28
Bihar,2025,11156,8881,13431,Low,25.28
Bihar,2026,11212,8717,13707,Low,25.28
Bihar,2027,11244,8528,13960,Low,25.28
Bihar,2028,11261,8325,14197,Low,25.28
Chandigarh,2024,195,0,2250,Low,6.9
Chandigarh,2025,213,0,2488,Low,6.9
Chandigarh,2026,206,0,2701,Low,6.9
Chandigarh,2027,201,0,2917,Low,6.9
Chandigarh,2028,204,0,3140,Low,6.9
Chhattisgarh,2024,13429,11374,15484,Low,27.88
Chhattisgarh,2025,13435,11160,15710,Low,27.88
Chhattisgarh,2026,13435,10940,15930,Low,27.88
Chhattisgarh,2027,13435,10719,16151,Low,27.88
Chhattisgarh,2028,13435,10499,16371,Low,27.88
Dadra & Nagar Haveli,2024,183,0,2238,Low,10.92
Dadra & Nagar Haveli,2025,185,0,2460,Low,10.92
Dadra & Nagar Haveli,2026,185,0,2680,Low,10.92
Dadra & Nagar Haveli,2027,185,0,2901,Low,10.92
Dadra & Nagar Haveli,2028,185,0,3121,Low,10.92
Daman & Diu,2024,5972,3697,8247,Unknown,50.0
Daman & Diu,2025,7472,4977,9967,Unknown,50.0
Daman & Diu,2026,9093,6377,11809,Unknown,50.0
Daman & Diu,2027,10120,7184,13056,Unknown,50.0
Daman & Diu,2028,11144,7988,14300,Unknown,50.0
Delhi,2024,5924,3869,7979,Low,19.81
Delhi,2025,5925,3650,8200,Low,19.81
Delhi,2026,5905,3410,8400,Low,19.81
Delhi,2027,5894,3178,8610,Low,19.81
Delhi,2028,5897,2961,8833,Low,19.81
Goa,2024,2853,798,4908,Low,14.3
Goa,2025,2885,610,5160,Low,14.3
Goa,2026,2876,381,5371,Low,14.3
Goa,2027,2868,152,5584,Low,14.3
Goa,2028,2873,0,5809,Low,14.3
Gujarat,2024,15457,13402,17512,Low,31.69
Gujarat,2025,15335,13060,17610,Low,31.69
Gujarat,2026,15630,13135,18125,Low,31.69
Gujarat,2027,15812,13096,18528,Low,31.69
Gujarat,2028,15715,12779,18651,Low,31.69
Haryana,2024,10474,8419,12529,Low,24.26
Haryana,2025,10507,8232,12782,Low,24.26
Haryana,2026,10530,8035,13025,Low,24.26
Haryana,2027,10542,7826,13258,Low,24.26
Haryana,2028,10565,7629,13501,Low,24.26
Himachal Pradesh,2024,2346,291,4401,Low,11.7
Himachal Pradesh,2025,2546,271,4821,Low,11.7
Himachal Pradesh,2026,2463,0,4958,Low,11.7
Himachal Pradesh,2027,2382,0,5098,Low,11.7
Himachal Pradesh,2028,2443,0,5379,Low,11.7
Jammu and Kashmir,2024,6273,4218,8328,Low,20.37
Jammu and Kashmir,2025,6239,3964,8514,Low,20.37
Jammu and Kashmir,2026,6242,3747,8737,Low,20.37
Jammu and Kashmir,2027,6247,3531,8963,Low,20.37
Jammu and Kashmir,2028,6247,3311,9183,Low,20.37
Jharkhand,2024,5463,3408,7518,Low,19.11
Jharkhand,2025,5577,3302,7852,Low,19.11
Jharkhand,2026,5617,3122,8112,Low,19.11
Jharkhand,2027,5611,2895,8327,Low,19.11
Jharkhand,2028,5597,2661,8533,Low,19.11
Karnataka,2024,45121,42414,47828,High,63.28
Karnataka,2025,45890,43137,48643,High,63.28
Karnataka,2026,46512,43721,49303,High,63.28
Karnataka,2027,46980,44161,49799,High,63.28
Karnataka,2028,47404,44468,50340,High,63.28
Kerala,2024,48638,45720,51556,High,68.54
Kerala,2025,49612,46635,52589,High,68.54
Kerala,2026,50177,47166,53188,High,68.54
Kerala,2027,50245,47230,53260,High,68.54
Kerala,2028,50200,47188,53212,High,68.54
Ladakh,2024,302,0,2357,Low,7.14
Ladakh,2025,307,0,2582,Low,7.14
Ladakh,2026,305,0,2800,Low,7.14
Ladakh,2027,302,0,3018,Low,7.14
Ladakh,2028,303,0,3239,Low,7.14
Lakshadweep,2024,1,0,2056,Low,0.0
Lakshadweep,2025,2,0,2277,Low,0.0
Lakshadweep,2026,3,0,2498,Low,0.0
Lakshadweep,2027,3,0,2719,Low,0.0
Lakshadweep,2028,2,0,2938,Low,0.0
Madhya Pradesh,2024,56146,52777,59515,High,74.64
Madhya Pradesh,2025,56600,53204,59996,High,74.64
Madhya Pradesh,2026,56670,53270,60070,High,74.64
Madhya Pradesh,2027,56604,53208,60000,High,74.64
Madhya Pradesh,2028,56603,53207,59999,High,74.64
Maharashtra,2024,35074,32970,37178,Moderate,53.21
Maharashtra,2025,35135,32860,37410,Moderate,53.21
Maharashtra,2026,35185,32690,37680,Moderate,53.21
Maharashtra,2027,35209,32493,37925,Moderate,53.21
Maharashtra,2028,35209,32273,38145,Moderate,53.21
Manipur,2024,398,0,2453,Low,7.53
Manipur,2025,451,0,2726,Low,7.53
Manipur,2026,490,0,2985,Low,7.53
Manipur,2027,477,0,3193,Low,7.53
Manipur,2028,443,0,3379,Low,7.53
Meghalaya,2024,226,0,2281,Low,10.42
Meghalaya,2025,234,0,2509,Low,10.42
Meghalaya,2026,234,0,2729,Low,10.42
Meghalaya,2027,232,0,2948,Low,10.42
Meghalaya,2028,231,0,3167,Low,10.42
Mizoram,2024,118,0,2173,Low,7.54
Mizoram,2025,119,0,2394,Low,7.54
Mizoram,2026,120,0,2615,Low,7.54
Mizoram,2027,120,0,2836,Low,7.54
Mizoram,2028,120,0,3056,Low,7.54
Nagaland,2024,347,0,2402,Low,3.32
Nagaland,2025,477,0,2752,Low,3.32
Nagaland,2026,592,0,3087,Low,3.32
Nagaland,2027,578,0,3294,Low,3.32
Nagaland,2028,470,0,3406,Low,3.32
Odisha,2024,12202,10147,14257,Low,26.59
Odisha,2025,12275,10000,14550,Low,26.59
Odisha,2026,12287,9792,14782,Low,26.59
Odisha,2027,12277,9561,14993,Low,26.59
Odisha,2028,12271,9335,15207,Low,26.59
Puducherry,2024,1295,0,3350,Low,16.64
Puducherry,2025,1305,0,3580,Low,16.64
Puducherry,2026,1311,0,3806,Low,16.64
Puducherry,2027,1309,0,4025,Low,16.64
Puducherry,2028,1309,0,4245,Low,16.64
Punjab,2024,6247,4192,8302,Low,20.02
Punjab,2025,6222,3947,8497,Low,20.02
Punjab,2026,6222,3727,8717,Low,20.02
Punjab,2027,6227,3511,8943,Low,20.02
Punjab,2028,6227,3291,9163,Low,20.02
Rajasthan,2024,24900,22845,26955,Moderate,41.2
Rajasthan,2025,24613,22338,26888,Moderate,41.2
Rajasthan,2026,24408,21913,26903,Moderate,41.2
Rajasthan,2027,24301,21585,27017,Moderate,41.2
Rajasthan,2028,24236,21300,27172,Moderate,41.2
Sikkim,2024,183,0,2238,Low,9.27
Sikkim,2025,186,0,2461,Low,9.27
Sikkim,2026,185,0,2680,Low,9.27
Sikkim,2027,185,0,2901,Low,9.27
Sikkim,2028,185,0,3121,Low,9.27
Tamil Nadu,2024,66489,62500,70478,Very High,88.71
Tamil Nadu,2025,65950,61993,69907,Very High,88.71
Tamil Nadu,2026,65950,61993,69907,Very High,88.71
Tamil Nadu,2027,66066,62102,70030,Very High,88.71
Tamil Nadu,2028,66095,62129,70061,Very High,88.71
Telangana,2024,23383,21328,25438,Moderate,39.54
Telangana,2025,23359,21084,25634,Moderate,39.54
Telangana,2026,23025,20530,25520,Moderate,39.54
Telangana,2027,22787,20071,25503,Moderate,39.54
Telangana,2028,22744,19808,25680,Moderate,39.54
Tripura,2024,548,0,2603,Low,13.23
Tripura,2025,522,0,2797,Low,13.23
Tripura,2026,537,0,3032,Low,13.23
Tripura,2027,568,0,3284,Low,13.23
Tripura,2028,554,0,3490,Low,13.23
Uttar Pradesh,2024,45812,43063,48561,High,63.86
Uttar Pradesh,2025,46345,43564,49126,High,63.86
Uttar Pradesh,2026,46902,44088,49716,High,63.86
Uttar Pradesh,2027,47445,44598,50292,High,63.86
Uttar Pradesh,2028,47937,45001,50873,High,63.86
Uttarakhand,2024,1749,0,3804,Low,14.64
Uttarakhand,2025,1789,0,4064,Low,14.64
Uttarakhand,2026,1816,0,4311,Low,14.64
Uttarakhand,2027,1840,0,4556,Low,14.64
Uttarakhand,2028,1850,0,4786,Low,14.64
West Bengal,2024,13778,11723,15833,Low,28.09
West Bengal,2025,13762,11487,16037,Low,28.09
West Bengal,2026,13762,11267,16257,Low,28.09
West Bengal,2027,13762,11046,16478,Low,28.09
West Bengal,2028,13762,10826,16698,Low,28.09
