State,region_type,2019,2020,2021,2022,2023,change_2022_2023,pct_change_2022_2023,avg_accidents_2019_2023,latest_accidents_2023,cagr_2019_2023_pct,total_2019_2023,latest_ranking_2023,national_share_2023_pct,peak_year,peak_accidents,lowest_year,lowest_accidents,risk_score,risk_category,trend_direction
Tamil Nadu,State,62685.0,49844.0,55682.0,64105.0,67213.0,3108.0,4.85,59905.8,67213.0,1.76,299529,1.0,13.99,2023,67213,2020,49844,88.71,Very High,Increasing
Madhya Pradesh,State,50669.0,45266.0,48877.0,54432.0,55327.0,895.0,1.64,50914.2,55327.0,2.22,254571,2.0,11.51,2023,55327,2020,45266,74.64,High,Increasing
Kerala,State,41111.0,27877.0,33296.0,43910.0,48091.0,4181.0,9.52,38857.0,48091.0,4.0,194285,3.0,10.01,2023,48091,2020,27877,68.54,High,Increasing
Uttar Pradesh,State,42572.0,34243.0,37729.0,41746.0,44534.0,2788.0,6.68,40164.8,44534.0,1.13,200824,4.0,9.27,2023,44534,2020,34243,63.86,High,Increasing
Karnataka,State,40658.0,34178.0,34647.0,39762.0,43440.0,3678.0,9.25,38537.0,43440.0,1.67,192685,5.0,9.04,2023,43440,2020,34178,63.28,High,Increasing
Maharashtra,State,32925.0,24971.0,29477.0,33383.0,35243.0,1860.0,5.57,31199.8,35243.0,1.72,155999,6.0,7.33,2023,35243,2020,24971,53.21,Moderate,Increasing
Rajasthan,State,23480.0,19114.0,20951.0,23614.0,24694.0,1080.0,4.57,22370.6,24694.0,1.27,111853,7.0,5.14,2023,24694,2020,19114,41.2,Moderate,Increasing
Telangana,State,21570.0,19172.0,21315.0,21619.0,22903.0,1284.0,5.94,21315.8,22903.0,1.51,106579,8.0,4.77,2023,22903,2020,19172,39.54,Moderate,Increasing
Andhra Pradesh,State,21992.0,19509.0,21556.0,21249.0,19949.0,-1300.0,-6.12,20851.0,19949.0,-2.41,104255,9.0,4.15,2019,21992,2020,19509,33.23,Low,Decreasing
Gujarat,State,17046.0,13398.0,15186.0,15751.0,16349.0,598.0,3.8,15546.0,16349.0,-1.04,77730,10.0,3.4,2019,17046,2020,13398,31.69,Low,Increasing
West Bengal,State,12658.0,10863.0,11937.0,13686.0,13795.0,109.0,0.8,12587.8,13795.0,2.17,62939,11.0,2.87,2023,13795,2020,10863,28.09,Low,Increasing
Chhattisgarh,State,13899.0,11656.0,12375.0,13279.0,13468.0,189.0,1.42,12935.4,13468.0,-0.78,64677,12.0,2.8,2019,13899,2020,11656,27.88,Low,Increasing
Odisha,State,11064.0,9817.0,10983.0,11663.0,11992.0,329.0,2.82,11103.8,11992.0,2.03,55519,13.0,2.5,2023,11992,2020,9817,26.59,Low,Increasing
Bihar,State,10007.0,8639.0,9553.0,10801.0,11014.0,213.0,1.97,10002.8,11014.0,2.43,50014,14.0,2.29,2023,11014,2020,8639,25.28,Low,Increasing
Haryana,State,10944.0,9431.0,9933.0,10429.0,10463.0,34.0,0.33,10240.0,10463.0,-1.12,51200,15.0,2.18,2019,10944,2020,9431,24.26,Low,Increasing
Assam,State,8350.0,6595.0,7411.0,7023.0,7421.0,398.0,5.67,7360.0,7421.0,-2.91,36800,16.0,1.54,2019,8350,2020,6595,22.19,Low,Increasing
Jammu and Kashmir,Union Territory,5796.0,4860.0,5452.0,6092.0,6298.0,206.0,3.38,5699.6,6298.0,2.1,28498,17.0,1.31,2023,6298,2020,4860,20.37,Low,Increasing
Punjab,State,6348.0,5203.0,5871.0,6138.0,6269.0,131.0,2.13,5965.8,6269.0,-0.31,29829,18.0,1.3,2019,6348,2020,5203,20.02,Low,Increasing
Delhi,Union Territory,5610.0,4178.0,4720.0,5652.0,5834.0,182.0,3.22,5198.8,5834.0,0.98,25994,19.0,1.21,2023,5834,2020,4178,19.81,Low,Increasing
Arunachal Pradesh,State,237.0,134.0,283.0,227.0,287.0,60.0,26.43,233.6,287.0,4.9,1168,29.0,0.06,2023,287,2020,134,19.43,Low,Increasing
Jharkhand,State,5217.0,4405.0,4728.0,5175.0,5315.0,140.0,2.71,4968.0,5315.0,0.47,24840,20.0,1.11,2023,5315,2020,4405,19.11,Low,Increasing
