State,region_type,year,accidents,ranking,prev_year_accidents,yoy_change,yoy_pct_change,rolling_2yr_avg,rolling_3yr_avg,total_accidents,national_share_pct,trend_direction,risk_score,risk_category
Andaman & Nicobar Islands,State,2019,230,31.0,,,,230.0,230.0,456959,0.05,Stable,13.01,Low
Andaman & Nicobar Islands,State,2020,141,30.0,230.0,-89.0,-38.7,185.5,185.5,372181,0.04,Decreasing,13.01,Low
Andaman & Nicobar Islands,State,2021,115,34.0,141.0,-26.0,-18.44,128.0,162.0,412432,0.03,Decreasing,13.01,Low
Andaman & Nicobar Islands,State,2022,141,34.0,115.0,26.0,22.61,128.0,132.33,461312,0.03,Increasing,13.01,Low
Andaman & Nicobar Islands,State,2023,143,34.0,141.0,2.0,1.42,142.0,133.0,480583,0.03,Increasing,13.01,Low
Andhra Pradesh,State,2019,21992,8.0,,,,21992.0,21992.0,456959,4.81,Stable,33.23,Low
Andhra Pradesh,State,2020,19509,7.0,21992.0,-2483.0,-11.29,20750.5,20750.5,372181,5.24,Decreasing,33.23,Low
Andhra Pradesh,State,2021,21556,7.0,19509.0,2047.0,10.49,20532.5,21019.0,412432,5.23,Increasing,33.23,Low
Andhra Pradesh,State,2022,21249,9.0,21556.0,-307.0,-1.42,21402.5,20771.33,461312,4.61,Decreasing,33.23,Low
Andhra Pradesh,State,2023,19949,9.0,21249.0,-1300.0,-6.12,20599.0,20918.0,480583,4.15,Decreasing,33.23,Low
Arunachal Pradesh,State,2019,237,30.0,,,,237.0,237.0,456959,0.05,Stable,19.43,Low
Arunachal Pradesh,State,2020,134,32.0,237.0,-103.0,-43.46,185.5,185.5,372181,0.04,Decreasing,19.43,Low
Arunachal Pradesh,State,2021,283,28.0,134.0,149.0,111.19,208.5,218.0,412432,0.07,Increasing,19.43,Low
Arunachal Pradesh,State,2022,227,31.0,283.0,-56.0,-19.79,255.0,214.67,461312,0.05,Decreasing,19.43,Low
Arunachal Pradesh,State,2023,287,29.0,227.0,60.0,26.43,257.0,265.67,480583,0.06,Increasing,19.43,Low
Assam,State,2019,8350,16.0,,,,8350.0,8350.0,456959,1.83,Stable,22.19,Low
Assam,State,2020,6595,16.0,8350.0,-1755.0,-21.02,7472.5,7472.5,372181,1.77,Decreasing,22.19,Low
Assam,State,2021,7411,16.0,6595.0,816.0,12.37,7003.0,7452.0,412432,1.8,Increasing,22.19,Low
Assam,State,2022,7023,16.0,7411.0,-388.0,-5.24,7217.0,7009.67,461312,1.52,Decreasing,22.19,Low
Assam,State,2023,7421,16.0,7023.0,398.0,5.67,7222.0,7285.0,480583,1.54,Increasing,22.19,Low
Bihar,State,2019,10007,15.0,,,,10007.0,10007.0,456959,2.19,Stable,25.28,Low
Bihar,State,2020,8639,15.0,10007.0,-1368.0,-13.67,9323.0,9323.0,372181,2.32,Decreasing,25.28,Low
Bihar,State,2021,9553,15.0,8639.0,914.0,10.58,9096.0,9399.67,412432,2.32,Increasing,25.28,Low
Bihar,State,2022,10801,14.0,9553.0,1248.0,13.06,10177.0,9664.33,461312,2.34,Increasing,25.28,Low
Bihar,State,2023,11014,14.0,10801.0,213.0,1.97,10907.5,10456.0,480583,2.29,Increasing,25.28,Low
Chandigarh,Union Territory,2019,305,29.0,,,,305.0,305.0,456959,0.07,Stable,6.9,Low
Chandigarh,Union Territory,2020,159,29.0,305.0,-146.0,-47.87,232.0,232.0,372181,0.04,Decreasing,6.9,Low
Chandigarh,Union Territory,2021,208,31.0,159.0,49.0,30.82,183.5,224.0,412432,0.05,Increasing,6.9,Low
Chandigarh,Union Territory,2022,237,30.0,208.0,29.0,13.94,222.5,201.33,461312,0.05,Increasing,6.9,Low
Chandigarh,Union Territory,2023,182,31.0,237.0,-55.0,-23.21,209.5,209.0,480583,0.04,Decreasing,6.9,Low
Chhattisgarh,State,2019,13899,11.0,,,,13899.0,13899.0,456959,3.04,Stable,27.88,Low
Chhattisgarh,State,2020,11656,11.0,13899.0,-2243.0,-16.14,12777.5,12777.5,372181,3.13,Decreasing,27.88,Low
Chhattisgarh,State,2021,12375,11.0,11656.0,719.0,6.17,12015.5,12643.33,412432,3.0,Increasing,27.88,Low
